ticker,date,c_x,change,v,h_y,v_y,oneminvol_y,stddev,count,day_ratio_15,lo_breakout,Predictions_change3
ADMP,2021-05-18,0.77,5.263158,2799224,6,0,0,2026.397,4573,10,4,0.4921559691429138
ADMP,2021-05-19,0.75,-1.2987013,2578236,0,0,1,2657.5176,3714,10,3,0.4921861886978149
ADMP,2021-05-20,0.77,4.0,1612601,1,0,0,2543.355,2517,10,8,0.4926525354385376
ADMP,2021-05-21,0.8,7.7922077,2997633,9,3,0,1932.4636,5988,10,14,0.4924693703651428
ADMP,2021-05-24,0.74,1.25,8031077,0,10,10,4263.592,8148,10,52,0.4916795194149017
ADMP,2021-05-25,0.67,-5.4054055,9595306,0,11,11,4859.4023,12090,6,96,0.4909209311008453
ADMP,2021-05-26,0.68,2.9850745,2740784,0,0,0,1898.1046,5001,7,95,0.4911023378372192
ADMP,2021-05-27,0.67,2.9411764,2417039,1,0,0,2022.4606,4892,7,91,0.4926257729530334
ADMP,2021-05-28,0.69,7.4626865,4174346,3,2,2,2317.2231,6540,7,85,0.4927168190479278
ADS,2021-04-20,102.01,-0.73712337,800932,0,0,0,2947.6638,11867,5,0,
ADS,2021-04-22,105.26,2.3324447,568906,1,0,2,2703.0437,7904,5,1,
ADS,2021-04-23,107.07,2.4130723,360044,3,0,0,1026.7947,6607,4,1,
ADS,2021-04-26,106.5,2.8859625,579800,4,2,1,2051.1467,7678,4,3,
ADS,2021-04-27,105.46,0.24413146,401967,0,0,0,728.8941,7204,4,3,
ADS,2021-04-28,107.84,2.4843543,976073,1,8,3,2681.5874,10458,6,27,
ADS,2021-04-29,118.64,12.027077,2467889,21,63,57,1475.8599,26909,9,27,
ADS,2021-04-30,117.85,1.3991908,1880850,0,0,64,4209.5605,17804,9,90,0.4797386527061462
ADS,2021-05-03,116.86,3.9287229,879955,251,0,0,1678.0786,14754,14,88,0.4774069786071777
ADS,2021-05-04,119.58,2.686976,850095,0,0,1,1037.0193,12472,14,88,0.4788227081298828
ADS,2021-05-05,122.17,2.6425824,704350,252,0,0,1778.4385,9401,14,64,0.4794219434261322
ADS,2021-05-06,120.68,2.8648605,484856,252,0,0,1317.533,9402,14,64,0.4816507399082184
ADS,2021-05-07,124.87,4.7398076,636289,252,1,0,1373.1644,10484,14,2,0.4804687798023224
ADS,2021-05-10,122.05,2.4985986,868049,251,4,2,1559.7777,13565,14,6,0.4825455844402313
ADS,2021-05-11,120.71,0.12290045,697458,0,0,3,1179.0272,12607,14,6,0.4827883243560791
ADS,2021-05-12,114.19,3.595394,643081,1,0,0,959.25256,12081,14,6,0.4835151731967926
ADS,2021-05-13,115.96,3.0212803,936151,0,8,0,5145.963,12965,14,13,0.4850575625896454
ADS,2021-05-14,120.6,4.3808208,439488,1,0,0,1097.5334,7973,14,12,0.481885015964508
ADS,2021-05-17,122.1,1.5920398,410776,2,0,0,1183.6058,7790,14,13,0.4832522869110107
ADS,2021-05-18,119.79,1.8345618,823826,3,2,9,3433.2266,12304,14,14,0.4848161339759826
ADS,2021-05-19,118.9,-0.38400534,693736,0,0,0,3487.5054,10215,9,10,0.4827922880649566
ADS,2021-05-20,116.74,2.5988226,789073,1,1,1,892.95,13173,9,3,0.4852058887481689
ADS,2021-05-21,117.71,3.0323796,737181,0,0,12,1064.0856,10465,9,4,0.4870700538158417
ADS,2021-05-24,118.3,1.7160819,673531,0,0,0,2029.7324,9383,6,5,0.4869029521942138
ADS,2021-05-25,114.17,2.0710058,850615,2,7,0,1757.368,13008,6,6,0.4879992604255676
ADS,2021-05-26,117.21,3.6524482,551194,0,0,0,857.85254,9812,6,6,0.4880808293819427
ADS,2021-05-27,121.87,4.4108863,963438,6,18,2,1733.6748,13814,7,11,0.4881871938705444
ADS,2021-05-28,121.05,0.33642405,526222,0,0,0,729.17523,8485,7,10,0.4859418570995331
AG,2021-04-20,15.98,0.8109794,3020930,0,0,0,848.7289,17228,13,0,
AG,2021-04-22,16.14,-0.419916,3747014,0,0,0,1363.3,19494,13,1,
AG,2021-04-23,16.22,2.4783146,3843896,0,1,3,1309.5154,18894,13,3,
AG,2021-04-26,15.94,0.80147964,3187658,0,0,0,785.4021,19310,13,3,
AG,2021-04-27,15.66,1.1919699,2807304,0,0,0,1042.8995,16550,14,3,
AG,2021-04-28,15.9,2.2988505,3504473,0,2,6,1395.4633,18953,14,6,
AG,2021-04-29,15.54,-0.3773585,4502718,0,9,0,1043.4282,24144,14,6,
AG,2021-04-30,15.09,0.3217503,4096911,0,0,1,858.6086,22347,14,5,0.4977752864360809
AG,2021-05-03,16.0,7.0245194,5499878,4,29,2,1608.5763,29871,14,12,0.4971311390399933
AG,2021-05-04,15.17,0.3125,6183706,0,40,0,1065.3824,31244,14,11,0.5000810027122498
AG,2021-05-05,14.94,0.46143705,4065824,0,0,4,1078.9575,23248,14,8,0.4989476799964905
AG,2021-05-06,15.93,9.036144,8701015,7,43,0,1529.5312,40218,14,18,0.4975579679012298
AG,2021-05-07,16.39,4.0175767,5751135,10,0,0,1233.2333,28061,14,18,0.5011123418807983
AG,2021-05-10,15.8,3.6607687,6977935,15,1,14,1670.912,31814,14,12,0.5002660751342773
AG,2021-05-11,16.47,4.3037972,4517442,0,0,0,1366.0364,23689,3,12,0.500322699546814
AG,2021-05-12,15.73,1.2143291,4392353,1,0,0,1131.6116,23074,3,12,0.4986337721347809
AG,2021-05-13,15.4,0.44500953,3969712,0,0,2,1812.8651,20810,3,13,0.4974191188812256
AG,2021-05-14,16.0,4.5454545,3489527,1,0,0,1302.8301,17617,3,12,0.4975837469100952
AG,2021-05-17,17.38,9.875,9255019,26,54,1,1916.54,42924,3,21,0.4977412819862366
AG,2021-05-18,17.43,0.863061,4881423,0,0,20,1719.9695,24255,3,21,0.501780092716217
AG,2021-05-19,17.26,2.1227767,6043310,54,1,0,1019.0776,33000,3,20,0.5000922083854675
AG,2021-05-20,17.77,4.8088064,4878360,56,0,0,829.0739,24531,3,19,0.5000413656234741
AG,2021-05-21,17.47,1.631964,4361728,0,0,1,2345.842,21171,4,22,0.500259280204773
AG,2021-05-24,17.62,2.3468804,2723352,0,0,0,919.0947,15387,4,3,0.5000670552253723
AG,2021-05-25,17.83,1.9296254,4592963,1,2,1,896.6722,25534,4,4,0.4975107312202453
AG,2021-05-26,17.56,1.9068985,4009177,60,0,2,914.1788,21341,4,4,0.4979921281337738
AG,2021-05-27,17.63,0.79726654,4089402,0,1,47,1232.0065,20694,4,7,0.4989456534385681
AG,2021-05-28,17.78,1.0777085,2947486,1,0,0,1321.1304,16212,4,4,0.4990187883377075
